pl_hostname,hd_name,hip_name,pl_pnum,pl_letter
HD 30669,HD 30669,HIP 22320,1,b
HD 30562,HD 30562,HIP 22336,1,b
BD-17 63,,HIP 2247,1,b
HD 30856,HD 30856,HIP 22491,1,b
GJ 179,,HIP 22627,1,b
HD 31253,HD 31253,HIP 22826,1,b
HD 2638,HD 2638 B,HIP 2350,1,b
HD 33142,HD 33142,HIP 23844,1,b
HD 32963,HD 32963,HIP 23884,1,b
HD 33283,HD 33283,HIP 23889,1,b
HD 32518,HD 32518,HIP 24003,1,b
Kapteyn,HD 33793,HIP 24186,1,c
HD 33844,HD 33844,HIP 24275,2,b
HD 33844,HD 33844,HIP 24275,2,c
KELT-7,HD 33643,HIP 24323,1,b
HD 34445,HD 34445,HIP 24681,1,b
HD 33564,HD 33564,HIP 25110,1,b
HD 290327,HD 290327,HIP 25191,1,b
HD 35759,HD 35759,HIP 25883,1,b
HD 2952,HD 2952,HIP 2611,1,b
HD 38283,HD 38283,HIP 26380,1,b
HD 37124,HD 37124,HIP 26381,3,c
HD 37124,HD 37124,HIP 26381,3,b
HD 37124,HD 37124,HIP 26381,3,d
HD 39091,HD 39091,HIP 26394,1,b
HD 37605,HD 37605,HIP 26664,2,b
HD 37605,HD 37605,HIP 26664,2,c
HD 38529,HD 38529,HIP 27253,2,c
HD 38529,HD 38529,HIP 27253,2,b
bet Pic,HD 39060,HIP 27321,1,b
HD 38801,HD 38801,HIP 27384,1,b
BD-06 1339,,HIP 27803,2,c
BD-06 1339,,HIP 27803,2,b
HD 40307,HD 40307,HIP 27887,5,b
HD 40307,HD 40307,HIP 27887,5,d
HD 40307,HD 40307,HIP 27887,5,f
HD 40307,HD 40307,HIP 27887,5,c
HD 40307,HD 40307,HIP 27887,5,g
HD 41004 A,HD 41004 A,HIP 28393 A,1,b
HD 41004 B,HD 41004 B,HIP 28393 B,1,b
HD 40979,HD 40979,HIP 28767,1,b
KELT-2 A,HD 42176,HIP 29301,1,b
HD 43197,HD 43197,HIP 29550,1,b
AB Pic,HD 44627,HIP 30034,1,b
HD 43691,HD 43691,HIP 30057,1,b
HD 44219,HD 44219,HIP 30114,1,b
HD 45364,HD 45364,HIP 30579,2,c
HD 45364,HD 45364,HIP 30579,2,b
HD 45350,HD 45350,HIP 30860,1,b
HD 45652,HD 45652,HIP 30905,1,b
HD 3651,HD 3651,HIP 3093,1,b
6 Lyn,HD 45410,HIP 31039,1,b
HD 46375,HD 46375,HIP 31246,1,b
HD 47186,HD 47186,HIP 31540,2,c
HD 47186,HD 47186,HIP 31540,2,b
7 CMa,HD 47205,HIP 31592,1,b
HD 47536,HD 47536,HIP 31688,1,b
HD 48265,HD 48265,HIP 31895,1,b
HAT-P-56,HD 262389,HIP 32209,1,b
HD 49674,HD 49674,HIP 32916,1,b
HD 50499,HD 50499,HIP 32970,1,b
HD 50554,HD 50554,HIP 33212,1,b
HD 52265,HD 52265,HIP 33719,1,b
HD 4113,HD 4113,HIP 3391,1,b
tau Gem,HD 54719,HIP 34693,1,b
HD 4208,HD 4208,HIP 3479,1,b
HD 4308,HD 4308,HIP 3497,1,b
HD 4203,HD 4203,HIP 3502,2,b
HD 4203,HD 4203,HIP 3502,2,c
HD 4313,HD 4313,HIP 3574,1,b
HD 59686 A,HD 59686,HIP 36616,1,b
HD 60532,HD 60532,HIP 36795,2,b
HD 60532,HD 60532,HIP 36795,2,c
HD 63454,HD 63454,HIP 37284,1,b
HD 62509,HD 62509,HIP 37826,1,b
HD 63765,HD 63765,HIP 38041,1,b
HD 4732,HD 4732,HIP 3834,2,b
HD 4732,HD 4732,HIP 3834,2,c
HD 65216,HD 65216,HIP 38558,2,c
HD 65216,HD 65216,HIP 38558,2,b
HD 66141,HD 66141,HIP 39311,1,b
HD 66428,HD 66428,HIP 39417,1,b
HD 67087,HD 67087,HIP 39767,2,c
HD 67087,HD 67087,HIP 39767,2,b
bet Cnc,HD 69267,HIP 40526,1,b
HD 68988,HD 68988,HIP 40687,1,b
