pl_hostname,hd_name,hip_name,pl_pnum,pl_letter
Kepler-781,,,1,b
Kepler-782,,,1,b
Kepler-783,,,1,b
Kepler-784,,,1,b
Kepler-785,,,1,b
Kepler-786,,,1,b
Kepler-787,,,1,b
Kepler-788,,,1,b
Kepler-789,,,1,b
Kepler-790,,,1,b
Kepler-791,,,1,b
Kepler-792,,,1,b
Kepler-793,,,1,b
Kepler-794,,,1,b
Kepler-795,,,1,b
Kepler-796,,,1,b
Kepler-797,,,1,b
Kepler-798,,,1,b
Kepler-799,,,1,b
Kepler-800,,,1,b
Kepler-801,,,1,b
Kepler-802,,,1,b
Kepler-803,,,1,b
Kepler-804,,,2,b
Kepler-804,,,2,c
Kepler-805,,,1,b
Kepler-806,,,1,b
Kepler-807,,,1,b
Kepler-808,,,1,b
Kepler-809,,,1,b
Kepler-810,,,1,b
Kepler-811,,,1,b
Kepler-812,,,1,b
Kepler-813,,,1,b
Kepler-814,,,1,b
Kepler-815,,,1,b
Kepler-816,,,1,b
Kepler-817,,,1,b
Kepler-545,,,1,b
Kepler-546,,,1,b
Kepler-547,,,1,b
Kepler-548,,,1,b
Kepler-549,,,2,b
Kepler-549,,,2,c
Kepler-550,,,1,b
Kepler-551,,,1,b
Kepler-552,,,1,b
Kepler-553,,,2,b
Kepler-553,,,2,c
Kepler-154,,,5,d
Kepler-154,,,5,e
Kepler-154,,,5,f
Kepler-554,,,1,b
KELT-8,HD 343246,,1,b
KELT-6,,,2,c
K2-22,,,1,b
WASP-47,,,4,c
WASP-47,,,4,d
WASP-47,,,4,e
WASP-41,,,2,c
K2-3,,,3,b
Kepler-623,,,1,b
HAT-P-20,,,1,b
Kepler-202,,,2,c
HAT-P-49,HD 340099,,1,b
Kepler-26,,,4,c
Kepler-295,,,3,b
Kepler-328,,,2,c
Kepler-339,,,3,d
Kepler-383,,,2,c
Kepler-430,,,2,c
WASP-70 A,HD 358155,,1,b
K2-13,,,1,b
Kepler-583,,,1,b
Kepler-584,,,1,b
Kepler-585,,,1,b
Kepler-176,,,4,e
Kepler-586,,,1,b
Kepler-587,,,1,b
Kepler-588,,,1,b
Kepler-589,,,1,b
Kepler-590,,,1,b
Kepler-591,,,1,b
Kepler-592,,,1,b
Kepler-593,,,1,b
Kepler-594,,,1,b
Kepler-595,,,1,b
Kepler-596,,,1,b
Kepler-597,,,1,b
Kepler-598,,,1,b
Kepler-599,,,1,b
Kepler-600,,,1,b
Kepler-601,,,1,b
Kepler-602,,,1,b
Kepler-603,,,3,b
Kepler-603,,,3,c
Kepler-603,,,3,d
Kepler-604,,,1,b
Kepler-605,,,2,b
Kepler-605,,,2,c
Kepler-606,,,1,b
Kepler-607,,,1,b
Kepler-608,,,1,b
Kepler-609,,,1,b
Kepler-610,,,2,b
Kepler-610,,,2,c
Kepler-191,,,3,d
Kepler-611,,,1,b
Kepler-192,,,3,d
Kepler-612,,,1,b
Kepler-613,,,1,b
Kepler-614,,,1,b
Kepler-615,,,1,b
Kepler-616,,,2,b
Kepler-616,,,2,c
Kepler-617,,,1,b
Kepler-618,,,1,b
Kepler-619,,,2,b
Kepler-619,,,2,c
Kepler-620,,,1,b
Kepler-621,,,1,b
Kepler-622,,,1,b
K2-28,,,1,b
K2-19,,,3,d
K2-31,,,1,b
K2-32,,,3,b
K2-32,,,3,d
K2-32,,,3,c
WASP-119,,,1,b
WASP-124,,,1,b
WASP-126,,,1,b
WASP-129,,,1,b
WASP-133,,,1,b
Kepler-198,,,3,d
Kepler-624,,,1,b
Kepler-625,,,2,b
Kepler-625,,,2,c
Kepler-626,,,1,b
Kepler-627,,,1,b
Kepler-628,,,1,b
Kepler-629,,,1,b
Kepler-630,,,1,b
Kepler-631,,,1,b
Kepler-632,,,1,b
Kepler-633,,,1,b
Kepler-634,,,1,b
Kepler-635,,,1,b
Kepler-636,,,1,b
Kepler-637,,,1,b
Kepler-638,,,1,b
Kepler-639,,,1,b
Kepler-640,,,1,b
Kepler-641,,,1,b
Kepler-642,,,1,b
Kepler-643,,,1,b
Kepler-644,,,1,b
Kepler-645,,,1,b
Kepler-646,,,1,b
Kepler-647,,,1,b
Kepler-648,,,1,b
Kepler-649,,,1,b
Kepler-650,,,1,b
Kepler-651,,,1,b
Kepler-217,,,3,d
Kepler-218,,,3,d
Kepler-652,,,1,b
Kepler-653,,,2,b
Kepler-653,,,2,c
Kepler-654,,,1,b
Kepler-655,,,1,b
Kepler-656,,,1,b
Kepler-657,,,1,b
Kepler-658,,,1,b
Kepler-659,,,1,b
Kepler-660,,,1,b
Kepler-661,,,1,b
Kepler-662,,,1,b
Kepler-663,,,1,b
Kepler-664,,,1,b
Kepler-665,,,1,b
Kepler-666,,,1,b
Kepler-667,,,1,b
Kepler-668,,,1,b
Kepler-669,,,1,b
Kepler-670,,,1,b
Kepler-671,,,1,b
Kepler-672,,,1,b
Kepler-673,,,1,b
Kepler-674,,,1,b
Kepler-675,,,1,b
Kepler-676,,,1,b
Kepler-677,,,1,b
Kepler-678,,,1,b
Kepler-679,,,1,b
KOI-94,,,4,d
GJ 1132,,,1,b
K2-27,,,1,b
Pr0211,,,2,c
K2-24,,,2,b
K2-24,,,2,c
Kepler-680,,,1,b
Kepler-681,,,1,b
Kepler-682,,,1,b
Kepler-683,,,1,b
Kepler-684,,,1,b
Kepler-685,,,1,b
Kepler-686,,,1,b
Kepler-687,,,1,b
Kepler-688,,,1,b
Kepler-689,,,1,b
Kepler-690,,,1,b
Kepler-691,,,1,b
Kepler-692,,,1,b
Kepler-693,,,1,b
Kepler-694,,,1,b
Kepler-695,,,1,b
Kepler-696,,,1,b
Kepler-697,,,1,b
Kepler-698,,,1,b
Kepler-699,,,1,b
Kepler-700,,,1,b
Kepler-701,,,1,b
Kepler-702,,,1,b
Kepler-703,,,1,b
Kepler-704,,,1,b
Kepler-705,,,1,b
Kepler-706,,,1,b
Kepler-707,,,1,b
Kepler-708,,,1,b
Kepler-709,,,1,b
Kepler-245,,,4,e
Kepler-710,,,1,b
Kepler-711,,,1,b
Kepler-712,,,2,b
Kepler-712,,,2,c
Kepler-713,,,1,b
Kepler-714,,,1,b
Kepler-715,,,1,b
Kepler-716,,,1,b
Kepler-717,,,1,b
Kepler-718,,,1,b
Kepler-719,,,1,b
Kepler-720,,,1,b
Kepler-721,,,1,b
Kepler-722,,,2,b
Kepler-722,,,2,c
Kepler-723,,,1,b
Kepler-724,,,1,b
Kepler-725,,,1,b
Kepler-726,,,1,b
Kepler-727,,,1,b
Kepler-728,,,1,b
Kepler-729,,,1,b
Kepler-730,,,1,b
Kepler-731,,,1,b
Kepler-732,,,2,b
Kepler-732,,,2,c
Kepler-733,,,1,b
Kepler-255,,,3,d
Kepler-734,,,1,b
Kepler-735,,,1,b
Kepler-736,,,1,b
Kepler-737,,,1,b
Kepler-738,,,1,b
Kepler-739,,,1,b
Kepler-740,,,1,b
Kepler-741,,,1,b
Kepler-742,,,1,b
Kepler-743,,,1,b
Kepler-744,,,1,b
Kepler-745,,,1,b
Kepler-746,,,1,b
Kepler-747,,,1,b
Kepler-748,,,1,b
Kepler-749,,,1,b
Kepler-750,,,2,b
Kepler-750,,,2,c
Kepler-249,,,3,c
Kepler-25,,,3,d
Kepler-250,,,3,d
Kepler-252,,,2,b
Kepler-253,,,3,d
Kepler-255,,,3,b
Kepler-256,,,4,e
Kepler-258,,,2,b
Kepler-26,,,4,d
Kepler-260,,,2,b
Kepler-262,,,2,b
Kepler-264,,,2,c
Kepler-265,,,4,e
Kepler-267,,,3,c
Kepler-269,,,2,c
Kepler-276,,,3,d
Kepler-278,,,2,b
Kepler-279,,,3,d
Kepler-28,,,2,b
Kepler-281,,,2,c
Kepler-282,,,4,e
Kepler-284,,,2,c
Kepler-286,,,4,c
Kepler-287,,,2,c
Kepler-239,,,2,c
Kepler-240,,,2,b
Kepler-238,,,5,d
Kepler-238,,,5,e
Kepler-240,,,2,c
Kepler-241,,,2,b
Kepler-238,,,5,f
Kepler-239,,,2,b
Kepler-241,,,2,c
Kepler-242,,,2,b
Kepler-243,,,2,b
Kepler-243,,,2,c
Kepler-244,,,3,b
Kepler-244,,,3,d
Kepler-245,,,4,b
Kepler-245,,,4,c
Kepler-245,,,4,d
Kepler-246,,,2,c
Kepler-247,,,3,b
Kepler-247,,,3,c
Kepler-248,,,2,b
Kepler-248,,,2,c
Kepler-249,,,3,b
Kepler-249,,,3,d
Kepler-250,,,3,b
Kepler-326,,,3,c
Kepler-326,,,3,d
Kepler-327,,,3,b
Kepler-327,,,3,d
Kepler-328,,,2,b
Kepler-329,,,2,c
Kepler-330,,,2,b
Kepler-330,,,2,c
Kepler-331,,,3,c
Kepler-331,,,3,d
Kepler-332,,,3,b
Kepler-332,,,3,c
Kepler-333,,,2,b
Kepler-333,,,2,c
Kepler-334,,,3,b
Kepler-334,,,3,d
Kepler-335,,,2,b
Kepler-335,,,2,c
Kepler-336,,,3,c
Kepler-336,,,3,d
Kepler-337,,,2,b
Kepler-337,,,2,c
Kepler-338,,,4,b
Kepler-338,,,4,c
Kepler-338,,,4,d
Kepler-338,,,4,e
Kepler-445,,,3,d
Kepler-446,,,3,d
Kepler-447,,,1,b
KOI-12,,,1,b
Lupus-TR-3,,,1,b
MOA 2007-BLG-400L,,,1,b
MOA 2008-BLG-310L,,,1,b
MOA 2008-BLG-379L,,,1,b
MOA 2009-BLG-266L,,,1,b
MOA 2009-BLG-319L,,,1,b
MOA 2010-BLG-477L,,,1,b
MOA 2010-BLG-073L,,,1,b
MOA 2011-BLG-293L,,,1,b
MOA 2011-BLG-322L,,,1,b
NGC 2682 YBP 1194,,,1,b
NGC 2682 Sand 364,,,1,b
NGC 4349 127,,,1,b
OGLE 2003-BLG-235L,,,1,b
OGLE 2005-BLG-71L,,,1,b
OGLE 2005-BLG-169L,,,1,b
OGLE 2006-BLG-109L,,,2,b
OGLE 2006-BLG-109L,,,2,c
OGLE 2008-BLG-92L,,,1,b
OGLE 2008-BLG-355L,,,1,b
OGLE 2011-BLG-251L,,,1,b
OGLE 2012-BLG-26L,,,2,b
OGLE 2012-BLG-26L,,,2,c
OGLE 2012-BLG-406L,,,1,b
OGLE 2013-BLG-102L,,,1,b
OGLE 2014-BLG-124L,,,1,b
OGLE2-TR-L9,,,1,b
OGLE-TR-056,,,1,b
OGLE-TR-111,,,1,b
OGLE-TR-113,,,1,b
OGLE-TR-132,,,1,b
OGLE-TR-211,,,1,b
Oph 11,,,1,b
Pr0211,,,2,b
PSR B1257+12,,,3,b
PSR B1257+12,,,3,c
PSR B1620-26,,,1,b
PSR J1719-1438,,,1,b
Qatar-1,,,1,b
ROXs 42 B,,,1,b
ROXs 12,,,1,b
SR 12 AB,,,1,c
SWEEPS-4,,,1,b
SWEEPS-11,,,1,b
TrES-1,,,1,b
TrES-3,,,1,b
TrES-4,,,1,b
TrES-5,,,1,b
TYC 1422-614-1,,,2,b
TYC 1422-614-1,,,2,c
USco CTIO 108,,,1,b
V0391 Peg,,,1,b
WASP-1,,,1,b
WASP-3,,,1,b
WASP-4,,,1,b
WASP-5,,,1,b
WASP-6,,,1,b
WASP-8,,,2,b
WASP-8,,,2,c
WASP-10,,,1,b
WASP-11,,,1,b
WASP-13,,,1,b
WASP-14,,,1,b
WASP-15,,,1,b
WASP-17,,,1,b
WASP-19,,,1,b
WASP-20,,,1,b
WASP-21,,,1,b
WASP-22,,,1,b
WASP-23,,,1,b
WASP-25,,,1,b
WASP-26,,,1,b
WASP-28,,,1,b
WASP-31,,,1,b
WASP-32,,,1,b
WASP-34,,,1,b
WASP-35,,,1,b
WASP-36,,,1,b
WASP-38,HD 146389,,1,b
WASP-39,,,1,b
WASP-42,,,1,b
WASP-43,,,1,b
WASP-44,,,1,b
WASP-46,,,1,b
WASP-47,,,4,b
WASP-48,,,1,b
WASP-50,,,1,b
WASP-52,,,1,b
WASP-54,,,1,b
WASP-56,,,1,b
WASP-57,,,1,b
WASP-58,,,1,b
WASP-60,,,1,b
WASP-61,,,1,b
WASP-63,,,1,b
WASP-64,,,1,b
WASP-65,,,1,b
WASP-67,,,1,b
WASP-68,HD 193334,,1,b
WASP-69,,,1,b
WASP-71,,,1,b
WASP-72,,,1,b
WASP-75,,,1,b
WASP-77 A,,,1,b
WASP-78,,,1,b
WASP-80,,,1,b
WASP-84,,,1,b
WASP-88,,,1,b
WASP-94 B,,,1,b
WASP-95,,,1,b
WASP-96,,,1,b
WASP-98,,,1,b
WASP-99,,,1,b
WASP-100,,,1,b
WASP-101,,,1,b
WASP-103,,,1,b
WASP-104,,,1,b
WASP-106,,,1,b
WASP-117,,,1,b
WD 0806-661,,,1,b
WTS-1,,,1,b
WISEP J121756.91+162640.2 A,,,1,b
XO-1,,,1,b
XO-2 N,,,1,b
XO-2 S,,,2,b
XO-2 S,,,2,c
XO-3,,,1,b
XO-5,,,1,b
HATS-9,,,1,b
HATS-10,,,1,b
Kepler-449,,,2,b
Kepler-449,,,2,c
Kepler-450,,,3,b
Kepler-450,,,3,c
Kepler-450,,,3,d
Kepler-92,,,3,d
HAT-P-55,,,1,b
Kepler-452,,,1,b
Kepler-432,,,2,c
Kepler-445,,,3,c
Kepler-446,,,3,c
2MASS J04414489+2301513,,,1,b
BD+20 1790,,,1,b
BD+20 2457,,,2,c
BD-10 3166,,,1,b
CT Cha,,,1,b
CoRoT-11,,,1,b
CoRoT-17,,,1,b
CoRoT-20,,,1,b
CoRoT-24,,,2,b
CoRoT-26,,,1,b
CoRoT-3,,,1,b
CoRoT-7,,,2,c
DENIS-P J082303.1-491201,,,1,b
FU Tau,,,1,b
GJ 3470,,,1,b
GJ 667 C,,,5,e
GQ Lup,,,1,b
HAT-P-13,,,2,c
HAT-P-17,,,2,c
HAT-P-35,,,1,b
HAT-P-4,,,1,b
HATS-1,,,1,b
HATS-4,,,1,b
HD 145934,HD 145934,,1,b
HD 17092,HD 17092,,1,b
HD 171028,HD 171028,,1,b
Kepler-1428,,,1,b
Kepler-1429,,,1,b
Kepler-1430,,,1,b
Kepler-1431,,,1,b
Kepler-1432,,,1,b
Kepler-1433,,,1,b
Kepler-1434,,,1,b
Kepler-1435,,,1,b
Kepler-1436,,,1,b
Kepler-1437,,,1,b
Kepler-1438,,,1,b
Kepler-1439,,,1,b
Kepler-1440,,,1,b
Kepler-1441,,,1,b
Kepler-1442,,,1,b
Kepler-1443,,,1,b
Kepler-1444,,,1,b
Kepler-1445,,,1,b
Kepler-1446,,,1,b
Kepler-1447,,,1,b
Kepler-1448,,,1,b
Kepler-1449,,,1,b
Kepler-1450,,,1,b
Kepler-1451,,,1,b
Kepler-1452,,,1,b
Kepler-1453,,,1,b
Kepler-1454,,,1,b
Kepler-1455,,,1,b
Kepler-1456,,,1,b
Kepler-1457,,,1,b
Kepler-1458,,,1,b
Kepler-1459,,,1,b
Kepler-1460,,,1,b
Kepler-1461,,,1,b
Kepler-1462,,,1,b
Kepler-1463,,,1,b
Kepler-1464,,,2,b
Kepler-1464,,,2,c
Kepler-1465,,,1,b
Kepler-1466,,,1,b
Kepler-1467,,,1,b
Kepler-1468,,,2,b
Kepler-1468,,,2,c
Kepler-1469,,,1,b
Kepler-1470,,,1,b
Kepler-1471,,,1,b
Kepler-1472,,,1,b
Kepler-1473,,,1,b
Kepler-1474,,,1,b
Kepler-1475,,,1,b
Kepler-1476,,,1,b
Kepler-1477,,,1,b
Kepler-1478,,,1,b
Kepler-1479,,,1,b
Kepler-1480,,,1,b
Kepler-1481,,,1,b
Kepler-1482,,,1,b
Kepler-1483,,,1,b
Kepler-1484,,,1,b
Kepler-1485,,,1,b
Kepler-1486,,,1,b
Kepler-1487,,,1,b
Kepler-1488,,,1,b
Kepler-1489,,,1,b
Kepler-1490,,,1,b
Kepler-1491,,,1,b
Kepler-1492,,,1,b
Kepler-1493,,,1,b
Kepler-1494,,,1,b
Kepler-1495,,,1,b
Kepler-1496,,,1,b
Kepler-1497,,,1,b
Kepler-1498,,,1,b
Kepler-1499,,,1,b
Kepler-1500,,,1,b
Kepler-1501,,,1,b
Kepler-1502,,,1,b
Kepler-1503,,,1,b
Kepler-1504,,,1,b
Kepler-1505,,,1,b
Kepler-1506,,,1,b
Kepler-1507,,,1,b
Kepler-1508,,,1,b
Kepler-1509,,,1,b
Kepler-1510,,,1,b
Kepler-1511,,,1,b
Kepler-1512,,,1,b
Kepler-1513,,,1,b
Kepler-1514,,,1,b
Kepler-1515,,,1,b
Kepler-1516,,,1,b
Kepler-1517,,,1,b
Kepler-1518,,,1,b
Kepler-1519,,,1,b
KIC 5437945,,,2,c
Kepler-1520,,,1,b
Kepler-1521,,,1,b
Kepler-1522,,,1,b
Kepler-1523,,,1,b
Kepler-1524,,,1,b
Kepler-1525,,,1,b
Kepler-1526,,,1,b
Kepler-1527,,,1,b
Kepler-1528,,,1,b
Kepler-1529,,,1,b
Kepler-1530,,,2,b
Kepler-1530,,,2,c
Kepler-1531,,,1,b
Kepler-1532,,,1,b
Kepler-1533,,,1,b
Kepler-1534,,,1,b
Kepler-1535,,,1,b
Kepler-1536,,,1,b
Kepler-1537,,,1,b
Kepler-1538,,,1,b
Kepler-1539,,,1,b
Kepler-1540,,,1,b
Kepler-1541,,,1,b
Kepler-1542,,,4,b
Kepler-1542,,,4,c
K2-90,,,2,b
K2-90,,,2,c
K2-91,,,1,b
K2-92,,,1,b
WASP-85 A,,,1,b
WASP-113,,,1,b
WASP-114,,,1,b
Kepler-1542,,,4,d
Kepler-1542,,,4,e
Kepler-1543,,,1,b
Kepler-1544,,,1,b
Kepler-1545,,,1,b
Kepler-1546,,,1,b
Kepler-1547,,,1,b
Kepler-1548,,,1,b
Kepler-1549,,,1,b
Kepler-1550,,,1,b
Kepler-1551,,,1,b
Kepler-1552,,,1,b
Kepler-1553,,,1,b
Kepler-1554,,,1,b
Kepler-1555,,,1,b
Kepler-1556,,,1,b
Kepler-1557,,,1,b
Kepler-1558,,,1,b
Kepler-1559,,,1,b
Kepler-1560,,,1,b
Kepler-1561,,,1,b
Kepler-1562,,,1,b
Kepler-1563,,,1,b
Kepler-1564,,,1,b
Kepler-1565,,,1,b
Kepler-1566,,,1,b
Kepler-1567,,,1,b
Kepler-1568,,,1,b
Kepler-1569,,,1,b
Kepler-1570,,,1,b
Kepler-1571,,,1,b
Kepler-1572,,,1,b
Kepler-1573,,,1,b
Kepler-1574,,,1,b
Kepler-1575,,,1,b
Kepler-1576,,,1,b
Kepler-1577,,,1,b
Kepler-1578,,,1,b
Kepler-1579,,,1,b
Kepler-1580,,,1,b
Kepler-1581,,,1,b
Kepler-1582,,,1,b
Kepler-1583,,,1,b
Kepler-1584,,,1,b
Kepler-1585,,,1,b
Kepler-1586,,,1,b
Kepler-1587,,,1,b
Kepler-1588,,,1,b
Kepler-1589,,,1,b
Kepler-1590,,,1,b
Kepler-1591,,,1,b
Kepler-1592,,,1,b
Kepler-1593,,,1,b
Kepler-1594,,,1,b
Kepler-1595,,,1,b
Kepler-1596,,,1,b
Kepler-1597,,,1,b
Kepler-1598,,,1,b
Kepler-1599,,,1,b
Kepler-1600,,,1,b
Kepler-1601,,,1,b
Kepler-1602,,,1,b
Kepler-1603,,,1,b
Kepler-1604,,,1,b
Kepler-1605,,,1,b
Kepler-1606,,,1,b
Kepler-1607,,,1,b
Kepler-1608,,,1,b
Kepler-1609,,,1,b
Kepler-1610,,,1,b
Kepler-1611,,,1,b
Kepler-1612,,,1,b
Kepler-1613,,,1,b
Kepler-1614,,,1,b
Kepler-1615,,,1,b
Kepler-1616,,,1,b
Kepler-1617,,,1,b
Kepler-1618,,,1,b
Kepler-1619,,,1,b
Kepler-1620,,,1,b
Kepler-1621,,,1,b
Kepler-1622,,,1,b
Kepler-1623,,,1,b
Kepler-1624,,,1,b
Kepler-1625,,,1,b
Kepler-1626,,,1,b
Kepler-1627,,,1,b
Kepler-1628,,,1,b
Kepler-1629,,,1,b
Kepler-1630,,,1,b
Kepler-1631,,,1,b
Kepler-1632,,,1,b
Kepler-1633,,,1,b
Kepler-1634,,,1,b
Kepler-1635,,,1,b
Kepler-1636,,,1,b
Kepler-1637,,,1,b
Kepler-1638,,,1,b
Kepler-1639,,,1,b
Kepler-1640,,,1,b
Kepler-1641,,,2,b
Kepler-1641,,,2,c
Kepler-1642,,,2,b
Kepler-1642,,,2,c
Kepler-1643,,,1,b
Kepler-1644,,,1,b
Kepler-1645,,,1,b
Kepler-1646,,,1,b
Kepler-539,,,2,c
Kepler-1647,,,1,b
MOA 2013-BLG-605L,,,1,b
K2-39,,,1,b
WASP-120,,,1,b
WASP-123,,,1,b
HATS-25,,,1,b
HATS-26,,,1,b
HATS-27,,,1,b
HATS-28,,,1,b
HATS-29,,,1,b
HATS-30,,,1,b
WASP-121,,,1,b
MOA 2010-BLG-353L,,,1,b
K2-33,,,1,b
V830 Tau,,,1,b
HATS-15,,,1,b
HATS-16,,,1,b
WASP-157,,,1,b
K2-35,,,2,b
K2-35,,,2,c
K2-36,,,2,b
K2-36,,,2,c
K2-37,,,3,b
K2-37,,,3,c
K2-37,,,3,d
K2-38,,,2,b
K2-38,,,2,c
K2-8,,,2,c
BD+20 594,,,1,b
NGC 2682 YBP 401,,,1,b
K2-42,,,1,b
K2-43,,,1,b
K2-44,,,1,b
K2-45,,,1,b
K2-46,,,1,b
K2-47,,,1,b
K2-48,,,1,b
K2-49,,,1,b
K2-50,,,1,b
OGLE 2015-BLG-0954L,,,1,b
K2-51,,,1,b
K2-52,,,1,b
K2-53,,,1,b
K2-54,,,1,b
K2-55,,,1,b
K2-57,,,1,b
K2-58,,,3,b
K2-58,,,3,c
K2-58,,,3,d
K2-59,,,2,b
K2-59,,,2,c
K2-60,,,1,b
K2-61,,,1,b
K2-62,,,2,b
K2-62,,,2,c
K2-63,,,1,b
K2-64,,,1,b
K2-66,,,1,b
K2-67,,,1,b
K2-68,,,1,b
K2-69,,,1,b
K2-70,,,1,b
K2-71,,,1,b
K2-72,,,4,b
K2-72,,,4,c
K2-72,,,4,d
K2-72,,,4,e
K2-73,,,1,b
K2-74,,,1,b
K2-75,,,2,b
K2-75,,,2,c
K2-76,,,1,b
K2-77,,,1,b
K2-78,,,1,b
K2-79,,,1,b
K2-80,,,2,b
K2-80,,,2,c
K2-81,,,1,b
K2-82,,,1,b
K2-83,,,2,b
K2-83,,,2,c
K2-84,,,2,b
K2-84,,,2,c
K2-85,,,1,b
K2-86,,,1,b
K2-87,,,1,b
K2-88,,,1,b
K2-89,,,1,b
Kepler-453,,,1,b
WASP-74,,,1,b
WASP-83,,,1,b
WASP-89,,,1,b
HD 240210,HD 240210,,1,b
Kepler-291,,,2,b
Kepler-292,,,5,d
Kepler-293,,,2,c
Kepler-295,,,3,d
Kepler-296,,,5,e
Kepler-298,,,3,b
Kepler-299,,,4,d
Kepler-30,,,3,b
Kepler-301,,,3,b
Kepler-306,,,4,d
Kepler-308,,,2,b
Kepler-289,,,3,c
Kepler-31,,,3,d
Kepler-310,,,3,b
Kepler-312,,,2,b
Kepler-314,,,2,b
Kepler-316,,,2,b
Kepler-318,,,2,b
Kepler-32,,,5,e
Kepler-320,,,2,b
Kepler-322,,,2,b
Kepler-324,,,2,b
Kepler-325,,,3,d
Kepler-327,,,3,c
Kepler-329,,,2,b
Kepler-250,,,3,c
Kepler-251,,,4,b
Kepler-251,,,4,c
Kepler-251,,,4,d
Kepler-251,,,4,e
Kepler-252,,,2,c
Kepler-253,,,3,b
Kepler-253,,,3,c
Kepler-254,,,3,b
Kepler-254,,,3,c
Kepler-254,,,3,d
Kepler-255,,,3,c
Kepler-256,,,4,b
Kepler-256,,,4,c
Kepler-256,,,4,d
Kepler-257,,,3,b
Kepler-257,,,3,c
Kepler-257,,,3,d
Kepler-258,,,2,c
Kepler-259,,,2,b
Kepler-259,,,2,c
Kepler-260,,,2,c
Kepler-261,,,2,b
Kepler-261,,,2,c
Kepler-262,,,2,c
Kepler-339,,,3,b
Kepler-339,,,3,c
Kepler-340,,,2,b
Kepler-340,,,2,c
Kepler-341,,,4,b
Kepler-341,,,4,c
Kepler-341,,,4,d
Kepler-342,,,4,b
Kepler-342,,,4,c
Kepler-342,,,4,d
Kepler-343,,,2,b
Kepler-344,,,2,b
Kepler-344,,,2,c
Kepler-345,,,2,b
Kepler-346,,,2,b
Kepler-346,,,2,c
Kepler-347,,,2,b
Kepler-348,,,2,b
Kepler-348,,,2,c
Kepler-349,,,2,b
Kepler-350,,,3,b
Kepler-350,,,3,c
Kepler-350,,,3,d
Kepler-351,,,3,b
Kepler-352,,,2,b
Kepler-331,,,3,b
Kepler-332,,,3,d
Kepler-334,,,3,c
Kepler-336,,,3,b
Kepler-341,,,4,e
Kepler-343,,,2,c
Kepler-345,,,2,c
Kepler-347,,,2,c
Kepler-349,,,2,c
Kepler-351,,,3,c
Kepler-353,,,2,c
Kepler-355,,,2,b
Kepler-357,,,3,c
Kepler-359,,,3,b
Kepler-360,,,2,c
Kepler-362,,,2,c
Kepler-364,,,2,c
Kepler-366,,,2,c
Kepler-368,,,2,c
Kepler-37,,,4,e
Kepler-371,,,2,b
Kepler-377,,,2,c
Kepler-380,,,2,b
Kepler-382,,,2,b
Kepler-384,,,2,b
Kepler-263,,,2,b
Kepler-263,,,2,c
Kepler-264,,,2,b
Kepler-265,,,4,b
Kepler-265,,,4,c
Kepler-265,,,4,d
Kepler-266,,,2,b
Kepler-266,,,2,c
Kepler-267,,,3,b
Kepler-267,,,3,d
Kepler-268,,,2,b
Kepler-268,,,2,c
Kepler-269,,,2,b
Kepler-270,,,2,b
Kepler-270,,,2,c
Kepler-271,,,3,b
Kepler-271,,,3,c
Kepler-272,,,3,b
Kepler-272,,,3,c
Kepler-272,,,3,d
Kepler-273,,,2,b
Kepler-273,,,2,c
Kepler-274,,,2,b
Kepler-274,,,2,c
Kepler-275,,,3,b
Kepler-352,,,2,c
Kepler-353,,,2,b
Kepler-354,,,3,b
Kepler-354,,,3,c
Kepler-354,,,3,d
Kepler-355,,,2,c
Kepler-356,,,2,b
Kepler-356,,,2,c
Kepler-357,,,3,b
Kepler-357,,,3,d
Kepler-358,,,2,b
Kepler-358,,,2,c
Kepler-359,,,3,c
Kepler-359,,,3,d
Kepler-360,,,2,b
Kepler-361,,,2,b
Kepler-361,,,2,c
Kepler-362,,,2,b
Kepler-363,,,3,b
Kepler-363,,,3,c
Kepler-363,,,3,d
Kepler-364,,,2,b
Kepler-365,,,2,b
Kepler-365,,,2,c
Kepler-366,,,2,b
HD 70573,HD 70573,,1,b
OGLE 2015-BLG-0966L,,,1,b
K2-3,,,3,d
Kepler-386,,,2,c
Kepler-388,,,2,c
Kepler-390,,,2,c
Kepler-392,,,2,c
Kepler-395,,,2,b
Kepler-397,,,2,b
Kepler-399,,,3,b
Kepler-4,,,1,b
Kepler-40,,,1,b
Kepler-401,,,3,b
Kepler-402,,,4,d
Kepler-404,,,2,b
Kepler-406,,,2,b
Kepler-407,,,2,c
Kepler-410 A,,,1,b
Kepler-413,,,1,b
Kepler-415,,,2,b
Kepler-416,,,2,c
Kepler-418,,,1,b
Kepler-419,,,2,c
Kepler-422,,,1,b
Kepler-424,,,2,c
Kepler-428,,,1,b
Kepler-43,,,1,b
Kepler-431,,,3,c
Kepler-434,,,1,b
Kepler-436,,,2,b
Kepler-276,,,3,c
Kepler-275,,,3,c
Kepler-277,,,2,b
Kepler-275,,,3,d
Kepler-276,,,3,b
Kepler-277,,,2,c
Kepler-278,,,2,c
Kepler-279,,,3,b
Kepler-279,,,3,c
Kepler-280,,,2,b
Kepler-280,,,2,c
Kepler-281,,,2,b
Kepler-282,,,4,b
Kepler-282,,,4,c
Kepler-282,,,4,d
Kepler-283,,,2,b
Kepler-283,,,2,c
Kepler-284,,,2,b
Kepler-285,,,2,b
